source,nombre_requete_source,destination,nombre_visites_destination
BP-Linux8,3093,,
192.168.190.130.50019,4,,
ns1.lan.rt.domain,83,,
192.168.190.130.50245,60,,
190-0-175-100.gba.solunet.com.ar,2000,,
par.1e100,1835,,
82.221.107.34.bc.googleusercontent.com.http,5,,
201.181.244.35.bc.googleusercontent.com.https,14,,
93.184.220.29.http,6,,
server-54-230-114-7.mrs52.r.cloudfront.net.https,5,,
ec2-35-166-112-194.us-west-2.compute.amazonaws.com.https,2,,
192.168.115.1,42,,
server-54-230-114-73.mrs52.r.cloudfront.net.https,5,,
ec2-34-211-70-226.us-west-2.compute.amazonaws.com.https,2,,
server-54-230-114-122.mrs52.r.cloudfront.net.https,2,,
lhr25s01-in-f2.1e100.net.https,10,,
mad01s26-in-f174.1e100.net.https,2,,
mauves.univ-st-etienne.fr.https,1687,,
192.168.190.130.50374,2,,
www.aggloroanne.fr.https,2130,,
91.121.37.244.https,24,,
104.18.31.182.http,3,,
,,192.168.190.130.50019,4
,,BP-Linux8,5923
,,ns1.lan.rt.domain,83
,,192.168.190.130.50245,55
,,184.107.43.74.http,2000
,,par.1e100,1052
,,82.221.107.34.bc.googleusercontent.com.http,6
,,201.181.244.35.bc.googleusercontent.com.https,16
,,93.184.220.29.http,6
,,server-54-230-114-7.mrs52.r.cloudfront.net.https,5
,,ec2-35-166-112-194.us-west-2.compute.amazonaws.com.https,2
,,192.168.115.1,42
,,server-54-230-114-73.mrs52.r.cloudfront.net.https,5
,,ec2-34-211-70-226.us-west-2.compute.amazonaws.com.https,2
,,server-54-230-114-122.mrs52.r.cloudfront.net.https,2
,,lhr25s01-in-f2.1e100.net.https,6
,,mad01s26-in-f174.1e100.net.https,2
,,mauves.univ-st-etienne.fr.https,751
,,192.168.190.130.50374,1
,,www.aggloroanne.fr.https,1022
,,91.121.37.244.https,27
,,104.18.31.182.http,4
